P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT
441,210165964,636734202,912325741,1002109111,24,698851713,134144,546884463
442,777318423,769378664,445865090,1039281776,22,150861774,134244,934055241
443,5589581,769378664,136548634,418834743,10,538046931,134344,186379813
444,29323969,636734202,92540590,487409015,42,912561269,134444,471348068
445,198910553,119630363,805174136,176313533,47,522444752,134544,530648381
446,373320038,119630363,805174136,580013018,11,157931518,134644,764066531
447,32013110,572414757,1017314817,1055765761,22,912561269,134744,143167852
448,353859376,119630363,874250391,243251345,31,951436719,134844,261628594
449,833555938,358198320,149312461,703164306,47,914094596,134944,771061068
450,250836415,769378664,323945030,217336653,23,685251842,135045,675726292
451,296355301,769378664,907834889,154724362,28,110255164,135145,113795035
452,774149468,119630363,100627142,299338386,48,969584240,135245,370273867
453,1068707489,636734202,645096753,741356596,20,933592180,135345,993526431
454,635176766,572414757,1017314817,311261128,32,58170374,135445,924940926
455,573476141,358198320,204013689,766427479,18,722772889,135545,750838795
456,941360390,572414757,1017314817,243251345,40,358456330,135645,1027883197
457,625978837,572414757,941774389,888362333,46,476280133,135745,290864788
458,553531943,358198320,204013689,130450140,38,778442747,135845,357271859
459,269228668,358198320,835727822,421194723,27,135724418,135945,158039428
460,939021123,636734202,912325741,481146443,47,857897645,136046,1020457344
461,1043547374,572414757,606029594,1037151810,44,414053841,136146,503031261
462,585141172,572414757,606029594,773509879,11,330741533,136246,250249913
463,754911756,358198320,92998158,487409015,48,150861774,136346,800611190
464,970264087,769378664,907834889,176313533,34,58170374,136446,732002315
465,908732025,769378664,907834889,775829305,12,722772889,136546,860208968
466,498353596,636734202,461996362,243251345,12,132859125,136646,776113432
467,224394118,358198320,533813379,816586290,48,881407782,136746,712536577
468,572593888,769378664,445865090,311261128,24,135724418,136846,187293586
469,915095615,119630363,874250391,983763394,43,841823385,136946,531029228
470,867031702,358198320,533813379,164223055,38,414053841,137047,427739400
471,255713418,119630363,100627142,806151297,21,914094596,137147,446236086
472,442553166,636734202,930522560,130450140,24,1073378685,137247,720090346
473,827907965,119630363,805174136,35270045,2,661352075,137347,120295951
474,71119408,119630363,87904542,35270045,45,376446406,137447,985419171
475,757746307,636734202,645096753,649360893,30,150861774,137547,280273637
476,775276428,636734202,461996362,253772148,33,793473108,137647,417301393
477,85931808,119630363,100627142,91948629,35,914094596,137747,485708908
478,701562193,769378664,600616823,253772148,11,442629192,137847,212789134
479,607958351,358198320,149312461,361008659,35,950309306,137947,1021184475
480,80892628,572414757,606029594,145719540,31,633393698,138048,904948098
481,688611679,119630363,87904542,773509879,17,881407782,138148,792777842
482,1033276767,572414757,1017314817,983763394,11,522444752,138248,411741422
483,400435404,119630363,724565089,487409015,9,358456330,138348,330060904
484,572240252,119630363,724565089,921540355,34,685251842,138448,221406276
485,452993609,636734202,930522560,453561333,44,912561269,138548,1072533702
486,671118104,769378664,600616823,1067412090,15,537974151,138648,322776517
487,444095411,572414757,941774389,6071928,43,793473108,138748,378261294
488,248363824,358198320,92998158,592282916,47,862246538,138848,780226739
489,624452202,358198320,204013689,1039281776,36,951436719,138948,890197429
490,669871660,769378664,445865090,114745743,11,698851713,139049,718407867
491,509977420,636734202,930522560,775829305,42,722772889,139149,462391246
492,1052074212,769378664,907834889,525949287,13,857897645,139249,309108515
493,916792761,769378664,600616823,773509879,8,537974151,139349,507130452
494,39095788,769378664,907834889,745479360,40,537974151,139449,83241631
495,624198474,769378664,907834889,550351346,28,537974151,139549,268463620
496,41557307,119630363,805174136,90946057,11,950309306,139649,109742142
497,206225119,358198320,149312461,154724362,1,476280133,139749,245355956
498,1043786708,358198320,149312461,983763394,21,157931518,139849,418181678
499,790901268,636734202,912325741,1067412090,38,478264760,139949,24617536
500,294566419,769378664,445865090,983763394,13,1073378685,140050,909209469
501,84041487,769378664,600616823,57114535,37,950309306,140150,483662509
502,1056765005,358198320,92998158,128219234,6,857897645,140250,227977482
503,517598425,358198320,533813379,454716506,30,358456330,140350,792158841
504,1059972190,358198320,533813379,498021420,10,1073378685,140450,634527065
505,862120230,769378664,907834889,61542427,32,990172696,140550,145978810
506,256723505,119630363,87904542,454716506,30,793473108,140650,292475522
507,16429461,769378664,323945030,773719241,20,685251842,140750,691544586
508,30943726,119630363,87904542,917505307,40,841823385,140850,777609336
509,563266935,119630363,874250391,884593886,30,128251339,140950,94008649
510,1036571084,769378664,323945030,114745743,25,881407782,141051,76241174
511,192944591,119630363,724565089,743324822,2,912561269,141151,757330576
512,59875078,572414757,303571634,809135577,18,376446406,141251,34802814
513,789839502,636734202,92540590,724890420,10,330741533,141351,70145354
514,611976156,769378664,907834889,749720854,10,969584240,141451,14489298
515,508642058,572414757,1017314817,458807834,37,633393698,141551,1012426530
516,472602431,119630363,805174136,763732228,28,951436719,141651,789182825
517,567132626,636734202,645096753,57114535,30,330741533,141751,484401075
518,956401056,769378664,323945030,189529079,33,857897645,141851,720511405
519,591589432,636734202,92540590,766427479,24,793473108,141951,829102062
520,1017489698,119630363,805174136,409851523,49,442629192,142052,282021060
521,245580210,636734202,912325741,498021420,21,857897645,142152,371829831
522,563457396,636734202,92540590,745479360,15,442629192,142252,46199103
523,562288637,769378664,907834889,426551212,7,862246538,142352,632028752
524,780972073,119630363,87904542,470953656,17,881407782,142452,652870879
525,394951198,636734202,461996362,816586290,47,1065123627,142552,719777455
526,113831215,572414757,1017314817,676027218,47,478264760,142652,580946160
527,110694591,636734202,92540590,1039792716,39,912561269,142752,175217489
528,554237594,358198320,533813379,658772357,40,951436719,142852,484457691
529,240673185,636734202,930522560,973625706,33,358456330,142952,601924529
530,320726421,769378664,907834889,453561333,45,414053841,143053,563755255
531,949831229,358198320,204013689,431513001,16,110255164,143153,581594997
532,912591305,119630363,87904542,894497667,45,275045273,143253,48116194
533,129650736,358198320,533813379,453561333,38,881407782,143353,633243922
534,98324551,572414757,1017314817,888267572,27,933592180,143453,490116396
535,678443151,572414757,1017314817,70352832,17,685251842,143553,538344258
536,924779524,358198320,835727822,658772357,36,914094596,143653,141184198
537,972129022,119630363,724565089,886566218,26,633393698,143753,424790139
538,901778162,119630363,724565089,626184819,24,135724418,143853,312222284
539,230676516,636734202,645096753,217336653,4,522444752,143953,606147211
540,675278988,119630363,87904542,973625706,7,376446406,144054,226437898
541,178676774,636734202,912325741,649360893,34,912561269,144154,892583743
542,687666429,119630363,100627142,903722543,40,157931518,144254,797326072
543,629111619,572414757,606029594,500347223,4,969584240,144354,407592602
544,286074469,358198320,204013689,580013018,42,685251842,144454,80607218
545,956080090,636734202,930522560,262774092,14,722772889,144554,1070495446
546,315020860,358198320,149312461,958677645,8,933592180,144654,365205670
547,305005643,769378664,323945030,436355334,48,110255164,144754,538783710
548,716397451,636734202,461996362,741356596,28,476280133,144854,388636455
549,570706969,572414757,1017314817,550351346,36,476280133,144954,704801711
550,744137087,769378664,136548634,376126556,27,1073378685,145055,563347603
551,703219105,572414757,606029594,1039281776,10,722772889,145155,788147406
552,710280390,769378664,136548634,749720854,1,1065123627,145255,391173827
553,346767732,358198320,835727822,714209204,1,110255164,145355,786325198
554,917923097,572414757,1017314817,376126556,31,912561269,145455,446946596
555,854645944,769378664,907834889,314681012,49,1073378685,145555,130496550
556,502554804,358198320,835727822,550351346,49,990172696,145655,935562253
557,806064643,636734202,912325741,1039281776,8,478264760,145755,199503464
558,322241297,636734202,930522560,61542427,25,698851713,145855,94008649
559,871555823,636734202,930522560,794589534,27,358456330,145955,381611929
560,302731164,358198320,149312461,743324822,37,841823385,146056,127539283
561,793879888,119630363,87904542,518605273,44,414053841,146156,932402661
562,507712466,636734202,92540590,967436704,16,150861774,146256,518476329
563,897799528,636734202,930522560,983763394,39,661352075,146356,540598501
564,629553227,358198320,204013689,211230296,41,358456330,146456,879408150
565,724511965,119630363,87904542,498021420,9,862246538,146556,267031897
566,184930082,358198320,149312461,711889679,19,132859125,146656,901089819
567,744663101,572414757,474336000,376126556,19,914094596,146756,955098813
568,1005265723,636734202,930522560,145327273,6,538046931,146856,677933260
569,135922980,769378664,445865090,1037151810,46,698851713,146956,713476491
570,117324225,572414757,303571634,908313182,44,358456330,147057,1042974802
571,10401637,358198320,204013689,466070234,1,330741533,147157,823615803
572,1010432030,769378664,323945030,454390549,3,538046931,147257,761014668
573,342495974,358198320,835727822,128219234,42,793473108,147357,536219449
574,883268710,358198320,835727822,933659093,36,135724418,147457,830701577
575,399169120,119630363,87904542,763732228,10,128251339,147557,83404588
576,313263979,636734202,92540590,314681012,27,476280133,147657,335577521
577,58946639,358198320,204013689,806151297,34,914094596,147757,898444199
578,98621118,769378664,445865090,421194723,9,110255164,147857,571816909
579,763953306,636734202,930522560,619639013,8,990172696,147957,234122560
580,676297666,119630363,805174136,454390549,30,881407782,148058,213559096
581,393391687,358198320,149312461,448959962,44,950309306,148158,243569859
582,398445646,769378664,600616823,444697879,23,722772889,148258,70764558
583,1051422645,636734202,461996362,176313533,35,1065123627,148358,440634129
584,366928575,119630363,805174136,746289111,42,722772889,148458,506945832
585,855275093,572414757,1017314817,1067412090,7,478264760,148558,995997504
586,265378014,119630363,100627142,676027218,11,244966167,148658,68214563
587,564369099,769378664,136548634,518605273,35,537974151,148758,625458654
588,475083929,572414757,474336000,1067412090,45,275045273,148858,541566170
589,2655097,119630363,874250391,749720854,3,358456330,148958,687659792
590,325547089,769378664,907834889,513079986,38,841823385,149059,694021198
591,194747182,119630363,87904542,541259438,40,358456330,149159,706893207
592,832332625,358198320,835727822,384902664,7,661352075,149259,157209486
593,589698208,358198320,149312461,145327273,20,414053841,149359,588892683
594,143121976,636734202,930522560,189529079,28,1073378685,149459,863470737
595,554444524,572414757,303571634,189529079,23,862246538,149559,676243567
596,782285242,572414757,941774389,346507224,35,862246538,149659,368552127
597,609668576,769378664,136548634,649360893,36,522444752,149759,357567274
598,150521380,358198320,533813379,921540355,9,722772889,149859,199615561
599,904510985,572414757,303571634,884593886,30,881407782,149959,167514967
600,53086093,769378664,907834889,477013090,4,1073378685,150060,250058826
601,520507318,119630363,874250391,673944718,13,358456330,150160,928209355
602,323569507,119630363,805174136,130450140,8,950309306,150260,126826145
603,931323241,119630363,805174136,809135577,41,841823385,150360,544968287
604,482455019,769378664,445865090,361008659,19,150861774,150460,615447430
605,503553056,119630363,100627142,384902664,30,912561269,150560,954630116
606,660134283,636734202,92540590,658772357,36,244966167,150660,790308090
607,473238973,572414757,606029594,711216073,13,722772889,150760,609898205
608,822629949,358198320,149312461,592282916,35,478264760,150860,1011750069
609,307132542,358198320,92998158,886566218,49,857897645,150960,1002539864
610,989139780,119630363,100627142,711889679,38,969584240,151061,795625820
611,947499144,769378664,907834889,458807834,45,522444752,151161,627062151
612,416297090,769378664,907834889,453561333,19,58170374,151261,439306151
613,43692440,636734202,645096753,454390549,22,244966167,151361,305641966
614,686064855,358198320,835727822,580013018,6,841823385,151461,397705250
615,311473857,769378664,445865090,809135577,4,841823385,151561,874232150
616,966879732,358198320,149312461,376126556,1,990172696,151661,481055525
617,323334144,358198320,204013689,421194723,37,110255164,151761,543721221
618,235793815,358198320,204013689,189529079,9,58170374,151861,103503530
619,313490272,636734202,645096753,856766955,46,722772889,151961,859990433
620,414071839,636734202,912325741,525949287,4,132859125,152062,822493549
621,164863389,572414757,1017314817,154724362,47,857897645,152162,88607957
622,509306842,572414757,303571634,384902664,19,275045273,152262,840528053
623,489700770,636734202,92540590,431513001,8,698851713,152362,823615803
624,210194030,119630363,805174136,176313533,29,950309306,152462,845362220
625,17675893,636734202,912325741,1067412090,38,912561269,152562,381761486
626,361387911,119630363,805174136,694894798,23,1073378685,152662,371353081
627,217690615,769378664,136548634,438953653,13,950309306,152762,339078416
628,193362704,636734202,461996362,447488005,40,58170374,152862,744886007
629,478958891,572414757,303571634,923562184,25,633393698,152962,1012706440
630,557902613,358198320,149312461,973625706,20,244966167,153063,127344014
631,981203316,358198320,204013689,649360893,34,275045273,153163,512627778
632,971518201,636734202,645096753,438615957,2,150861774,153263,128746087
633,724238482,636734202,461996362,431513001,24,537974151,153363,905589760
634,468892136,636734202,912325741,602193411,34,661352075,153463,257821549
635,731083785,572414757,303571634,145327273,49,990172696,153563,387615515
636,166203651,572414757,474336000,498021420,36,135724418,153663,973236002
637,744668198,572414757,303571634,176313533,48,414053841,153763,736081416
638,533711934,572414757,606029594,128219234,37,881407782,153863,23435280
639,721605964,358198320,149312461,673944718,33,950309306,153963,51367622
640,12389083,119630363,805174136,100881916,20,157931518,154064,344368288
641,1053110009,572414757,474336000,857999317,18,1073378685,154164,682400517
642,903157517,769378664,323945030,447488005,12,150861774,154264,518531663
643,844478555,636734202,92540590,983763394,8,661352075,154364,945455151
644,90471946,572414757,941774389,794589534,34,135724418,154464,190673263
645,133425129,769378664,600616823,454651936,45,933592180,154564,354220291
646,133779612,572414757,941774389,746289111,21,376446406,154664,424042519
647,630374256,636734202,912325741,466715267,38,537974151,154764,721100152
648,626817995,636734202,645096753,903722543,2,990172696,154864,1021893534
649,582116559,119630363,805174136,1015815959,33,857897645,154964,908289219
650,673968734,572414757,1017314817,438953653,40,722772889,155065,858990229
651,377373953,572414757,941774389,921540355,4,275045273,155165,925526392
652,901841617,119630363,805174136,444697879,39,841823385,155265,15715682
653,588440569,119630363,724565089,1050489664,28,857897645,155365,603167174
654,977843674,358198320,835727822,240866317,2,275045273,155465,202103855
655,880305731,119630363,805174136,1015815959,23,1065123627,155565,494435083
656,845873807,119630363,724565089,1055765761,17,442629192,155665,76496218
657,89542475,636734202,930522560,1050502102,36,376446406,155765,47691554
658,645012944,119630363,724565089,857999317,27,1073378685,155865,518441129
659,335440873,636734202,645096753,703164306,20,912561269,155965,383430923
660,331429753,572414757,303571634,346507224,8,476280133,156066,1054501454
661,823871950,636734202,92540590,453561333,35,358456330,156166,366301334
662,1035675508,769378664,600616823,658772357,35,376446406,156266,117159737
663,1069710164,769378664,445865090,58654230,6,793473108,156366,691076525
664,131942793,769378664,323945030,217336653,26,439432863,156466,4018171
665,898100775,119630363,874250391,983763394,14,661352075,156566,1049621229
666,280118418,119630363,874250391,169105916,20,150861774,156666,430154498
667,462840124,769378664,323945030,361008659,42,722772889,156766,725976258
668,404006319,358198320,204013689,602193411,10,376446406,156866,507882045
669,1022098049,119630363,100627142,164223055,37,778442747,156966,308105765
670,627112098,119630363,805174136,87951864,24,244966167,157067,92725379
671,509346495,572414757,1017314817,120107870,31,969584240,157167,685226051
672,741788585,358198320,835727822,1002109111,13,376446406,157267,758633719
673,817161669,358198320,835727822,487409015,26,522444752,157367,971502313
674,581914725,636734202,912325741,1037151810,5,132859125,157467,820199040
675,701462049,119630363,100627142,67819486,2,476280133,157567,130380801
676,28790773,119630363,100627142,535706930,45,476280133,157667,978173347
677,253147858,769378664,136548634,676027218,6,275045273,157767,1030285013
678,873742451,769378664,136548634,116158500,15,950309306,157867,535599784
679,1058242441,769378664,445865090,721449059,50,698851713,157967,958562489
680,554801615,119630363,87904542,1067412090,44,376446406,158068,108300282
681,41437573,636734202,92540590,87951864,9,330741533,158168,482377126
682,504115978,572414757,1017314817,922606174,48,538046931,158268,541099182
683,941885272,572414757,1017314817,176313533,1,150861774,158368,243443544
684,709781421,636734202,461996362,314681012,6,633393698,158468,204312649
685,242391443,636734202,930522560,1067412090,36,912561269,158568,946918665
686,296695753,572414757,606029594,743324822,15,275045273,158668,623017605
687,816900839,572414757,303571634,922606174,47,969584240,158768,935537764
688,10955882,769378664,600616823,130450140,38,1065123627,158868,384077361
689,81512369,769378664,323945030,980796360,22,135724418,158968,192799743
690,74120673,636734202,92540590,933659093,31,793473108,159069,830918578
691,879868105,636734202,912325741,409851523,3,1073378685,159169,191375159
692,621426789,119630363,87904542,703164306,20,522444752,159269,752133261
693,928534419,572414757,606029594,128219234,14,157931518,159369,307905799
694,188815646,636734202,912325741,35270045,35,414053841,159469,127056444
695,109254132,358198320,835727822,809135577,19,661352075,159569,67246564
696,916463580,636734202,461996362,535706930,3,951436719,159669,655986054
697,382674625,769378664,445865090,466070234,8,128251339,159769,869036045
698,1070718830,769378664,907834889,91948629,44,376446406,159869,143632077
699,742826466,119630363,100627142,361008659,5,330741533,159969,179802091
700,165783793,636734202,645096753,498021420,31,1073378685,160070,451447428
701,476963039,769378664,323945030,487409015,36,110255164,160170,339340439
702,861468527,769378664,445865090,418834743,26,476280133,160270,139146048
703,68554200,636734202,92540590,47982338,20,157931518,160370,134551402
704,117418670,636734202,645096753,211230296,23,128251339,160470,936896022
705,119348846,636734202,461996362,16209127,47,132859125,160570,309739700
706,11501809,636734202,461996362,725491806,6,358456330,160670,834390024
707,338363601,119630363,100627142,775829305,17,950309306,160770,522912262
708,634742,636734202,92540590,763732228,29,522444752,160870,125831020
709,489145806,769378664,323945030,1037151810,16,950309306,160970,607531894
710,670100934,119630363,724565089,888362333,27,881407782,161071,91062397
711,389164449,119630363,100627142,454716506,24,244966167,161171,690439988
712,766421122,636734202,461996362,908313182,25,685251842,161271,603658913
713,882094334,358198320,149312461,694894798,20,476280133,161371,403205668
714,279822980,119630363,100627142,1039792716,35,1073378685,161471,984685368
715,1003681022,358198320,533813379,444697879,28,275045273,161571,893168192
716,697226421,119630363,805174136,888362333,37,1065123627,161671,925987156
717,16828931,358198320,204013689,70352832,28,862246538,161771,326714083
718,119511236,636734202,912325741,875838945,24,476280133,161871,116137174
719,517300428,636734202,912325741,745479360,49,914094596,161971,361108929
720,88398135,769378664,600616823,568963210,8,914094596,162072,656006981
721,39890915,572414757,941774389,299338386,33,537974151,162172,400657475
722,549178515,769378664,323945030,169105916,43,914094596,162272,108936161
723,968465649,636734202,930522560,766427479,34,157931518,162372,1063083126
724,909157799,636734202,912325741,58654230,28,969584240,162472,841556069
725,140556423,769378664,323945030,262774092,11,969584240,162572,532206646
726,674331924,769378664,323945030,271753333,41,914094596,162672,852267547
727,84824566,636734202,912325741,592282916,35,358456330,162772,260414003
728,58973613,636734202,461996362,16209127,27,912561269,162872,1008857380
729,604809843,636734202,912325741,886566218,6,912561269,162972,811637482
730,139397445,769378664,600616823,458807834,8,358456330,163073,309739700
731,834803686,636734202,461996362,361625467,34,442629192,163173,114151249
732,662624565,358198320,92998158,703164306,1,950309306,163273,842071966
733,1039079674,769378664,323945030,837770402,1,442629192,163373,250610296
734,1042306169,358198320,92998158,724890420,34,110255164,163473,558427755
735,16479032,769378664,907834889,903722543,44,476280133,163573,401945863
736,702788910,636734202,92540590,676027218,44,857897645,163673,959305911
737,523689877,572414757,1017314817,271753333,25,950309306,163773,356454026
738,394268951,358198320,92998158,1050502102,29,1065123627,163873,810168974
739,366950382,636734202,930522560,908313182,24,969584240,163973,971174904
740,937477822,636734202,912325741,253772148,7,793473108,164074,761660926
741,104983787,769378664,136548634,70352832,33,793473108,164174,940032378
742,163649867,572414757,303571634,745479360,30,135724418,164274,801135537
743,183767722,769378664,907834889,91322759,4,722772889,164374,210683906
744,779305888,572414757,1017314817,436355334,47,537974151,164474,79334737
745,156419087,636734202,930522560,58654230,25,969584240,164574,767763964
746,1061813240,358198320,835727822,958677645,31,128251339,164674,156259685
747,427466056,119630363,100627142,176313533,20,841823385,164774,487224503
748,979226927,572414757,606029594,418834743,32,476280133,164874,141994183
749,360614158,358198320,533813379,1067412090,16,722772889,164974,531732195
750,700856667,769378664,323945030,922606174,47,150861774,165075,1040102296
751,848544335,119630363,100627142,888362333,17,522444752,165175,222927978
752,211292102,572414757,1017314817,487409015,1,150861774,165275,423329665
753,826344065,358198320,149312461,699898675,13,244966167,165375,634070040
754,286547067,572414757,303571634,470953656,42,990172696,165475,102509846
755,433900277,358198320,204013689,70352832,12,793473108,165575,985539580
756,366591400,572414757,941774389,61542427,44,778442747,165675,729653173
757,760538079,636734202,912325741,431513001,12,414053841,165775,809241389
758,1043285913,119630363,100627142,741356596,25,698851713,165875,229546509
759,750563443,636734202,645096753,1039281776,20,1065123627,165975,857964590
760,943881596,769378664,136548634,923562184,6,912561269,166076,1042971170
761,821731468,636734202,645096753,741356596,7,1073378685,166176,776597898
762,519722484,119630363,724565089,235794965,35,537974151,166276,773250210
763,208598454,769378664,136548634,444697879,50,358456330,166376,763601806
764,85649495,119630363,874250391,602193411,11,912561269,166476,1054087986
765,520593404,636734202,912325741,90946057,3,275045273,166576,516820743
766,811901513,358198320,533813379,454651936,20,150861774,166676,23042976
767,50840952,358198320,533813379,235794965,50,661352075,166776,70676472
768,401689835,769378664,323945030,67819486,41,522444752,166876,181288206
769,608772861,358198320,533813379,100881916,8,933592180,166976,943022883
770,409825674,358198320,149312461,444697879,7,135724418,167077,426458565
771,607142045,119630363,724565089,721449059,17,244966167,167177,590324453
772,193836689,636734202,912325741,933659093,33,537974151,167277,32345867
773,37454384,636734202,92540590,1002109111,16,933592180,167377,795471092
774,694991041,358198320,533813379,649360893,26,157931518,167477,186841146
775,543929297,119630363,87904542,466070234,2,150861774,167577,271479750
776,847745038,572414757,303571634,481146443,21,110255164,167677,73840236
777,244064556,572414757,1017314817,470953656,50,862246538,167777,686384919
778,1013225762,636734202,92540590,1002109111,20,633393698,167877,1053414942
779,531187696,358198320,204013689,147979726,26,110255164,167977,810925541
780,676726266,572414757,474336000,145719540,31,442629192,168078,255816540
781,779148033,119630363,874250391,35270045,22,244966167,168178,11402319
782,352474578,119630363,874250391,749720854,29,950309306,168278,291812878
783,292945607,119630363,874250391,114745743,4,661352075,168378,294155862
784,445814548,119630363,805174136,525949287,47,244966167,168478,1064956136
785,966477399,636734202,461996362,565302581,41,135724418,168578,747396039
786,137126882,358198320,835727822,888267572,20,135724418,168678,949102377
787,338161054,572414757,474336000,602193411,35,841823385,168778,1008395245
788,351185669,636734202,645096753,794589534,10,912561269,168878,787726853
789,881531408,636734202,912325741,1002109111,14,376446406,168978,1039496327
790,586511438,769378664,907834889,58654230,35,969584240,169079,278328314
791,680812679,358198320,533813379,574905389,24,150861774,169179,60595923
792,724926109,119630363,874250391,188881828,8,537974151,169279,42920152
793,354405537,572414757,303571634,922606174,28,1065123627,169379,325037717
794,796851221,572414757,303571634,240866317,47,537974151,169479,245155274
795,322528208,572414757,606029594,711216073,46,722772889,169579,886432696
796,627295275,572414757,303571634,147979726,50,330741533,169679,179025748
797,879733823,769378664,445865090,816586290,10,275045273,169779,748761635
798,103106513,119630363,805174136,541259438,18,912561269,169879,670295259
799,21566959,636734202,912325741,138684891,7,722772889,169979,171875863
800,12638861,119630363,100627142,189529079,29,275045273,170080,47638044
801,398141916,572414757,606029594,894497667,18,857897645,170180,384870569
802,173313361,636734202,645096753,199004570,41,990172696,170280,55013005
803,191812883,572414757,941774389,327822938,50,537974151,170380,649298969
804,408569360,358198320,835727822,775829305,9,950309306,170480,881064929
805,236960502,572414757,941774389,61542427,8,478264760,170580,394508636
806,730565725,636734202,92540590,314681012,45,439432863,170680,78010541
807,864987027,358198320,533813379,734914638,25,990172696,170780,620323764
808,694113827,572414757,303571634,1037151810,36,537974151,170880,23229914
809,134097850,636734202,92540590,743324822,17,950309306,170980,285161706
810,241514007,572414757,606029594,917505307,13,633393698,171081,588542168
811,1030578650,636734202,461996362,454716506,32,538046931,171181,12811799
812,467728999,636734202,461996362,466070234,11,275045273,171281,29071674
813,874559813,769378664,323945030,983763394,2,110255164,171381,797251669
814,30570029,572414757,606029594,541259438,43,537974151,171481,21360210
815,237198617,358198320,204013689,426551212,5,376446406,171581,481125105
816,201404406,119630363,874250391,477013090,35,951436719,171681,932819958
817,227566839,769378664,445865090,699898675,36,478264760,171781,297723591
818,310829337,769378664,323945030,189529079,36,722772889,171881,693034630
819,1004141235,572414757,606029594,147979726,27,476280133,171981,498936870
820,749754618,119630363,100627142,816586290,20,990172696,172082,126447478
821,506489174,769378664,907834889,138684891,15,698851713,172182,337385794
822,1062640738,572414757,941774389,676027218,21,933592180,172282,186738249
823,344010092,358198320,149312461,57114535,21,157931518,172382,645562599
824,59170669,119630363,724565089,1039281776,34,778442747,172482,186896923
825,25871276,119630363,874250391,154724362,47,951436719,172582,285809136
826,238042526,636734202,645096753,16209127,21,685251842,172682,798465841
827,992592790,119630363,874250391,58654230,15,881407782,172782,485422255
828,1019877811,769378664,136548634,894497667,11,132859125,172882,380398409
829,730003381,636734202,912325741,773509879,33,1073378685,172982,576389346
830,747003977,572414757,606029594,888362333,37,1065123627,173083,551319620
831,102113260,572414757,303571634,253772148,8,951436719,173183,328014884
832,867867632,769378664,136548634,574905389,3,275045273,173283,915224585
833,1037183024,769378664,445865090,903722543,34,1065123627,173383,1036784852
834,938997983,572414757,941774389,711216073,43,1065123627,173483,1058249355
835,390044037,572414757,1017314817,361008659,21,538046931,173583,376843185
836,1050289240,636734202,930522560,1039281776,32,1073378685,173683,174426612
837,342368361,119630363,874250391,773509879,27,841823385,173783,456426407
838,2964350,358198320,204013689,852051094,9,275045273,173883,89085887
839,403036034,358198320,149312461,894497667,19,1065123627,173983,499685333
840,68822102,769378664,136548634,448959962,42,841823385,174084,182286484
841,820514666,119630363,724565089,773509879,48,633393698,174184,210995476
842,153736190,119630363,100627142,773719241,4,150861774,174284,925352824
843,426978517,119630363,724565089,983763394,50,376446406,174384,809814894
844,249818329,636734202,912325741,725491806,22,685251842,174484,878256256
845,116560124,769378664,445865090,794589534,25,912561269,174584,886432696
846,247890400,358198320,533813379,431513001,6,950309306,174684,958129715
847,886167070,358198320,149312461,120107870,21,135724418,174784,573292595
848,313587653,572414757,1017314817,1039281776,26,912561269,174884,549801213
849,10633161,769378664,136548634,346507224,41,661352075,174984,131249006
850,833234294,769378664,445865090,745479360,31,857897645,175085,1041187761
851,1009096602,572414757,606029594,1050502102,30,951436719,175185,785589016
852,397549930,358198320,533813379,438615957,47,969584240,175285,375931923
853,351375389,572414757,303571634,602193411,42,414053841,175385,706212275
854,497152914,769378664,445865090,746289111,29,414053841,175485,340941052
855,943809348,636734202,930522560,1015815959,46,698851713,175585,302351966
856,437365780,119630363,874250391,724890420,12,778442747,175685,562656958
857,749548478,636734202,912325741,154724362,8,150861774,175785,158185632
858,245764824,636734202,461996362,1050502102,14,476280133,175885,1038171691
859,757609889,636734202,912325741,91948629,10,275045273,175985,898178424
860,387494534,636734202,92540590,518605273,36,132859125,176086,883377825
861,44667588,769378664,323945030,908313182,48,969584240,176186,461397314
862,309719553,572414757,606029594,922606174,12,132859125,176286,851124567
863,415368758,358198320,149312461,574905389,41,951436719,176386,60207567
864,290515795,119630363,100627142,346507224,39,881407782,176486,784008802
865,777562868,119630363,100627142,773719241,12,881407782,176586,425429782
866,280779927,119630363,100627142,78432743,13,633393698,176686,305843795
867,355166668,572414757,606029594,271753333,4,58170374,176786,888243601
868,873360348,636734202,461996362,189529079,48,478264760,176886,361902852
869,265446191,358198320,533813379,574905389,28,439432863,176986,642622825
870,703555569,572414757,606029594,114745743,11,1065123627,177087,732922987
871,886868341,572414757,474336000,773719241,27,358456330,177187,909794974
872,1009559264,119630363,724565089,361008659,41,933592180,177287,257058262
873,908797036,119630363,100627142,703164306,45,128251339,177387,335098553
874,566170219,119630363,724565089,458807834,9,698851713,177487,976901260
875,973394311,358198320,533813379,908313182,1,661352075,177587,595070400
876,962348093,636734202,930522560,973625706,25,476280133,177687,357338419
877,7117898,636734202,930522560,649360893,20,150861774,177787,829457242
878,793457048,636734202,92540590,477013090,40,414053841,177887,395030819
879,728393505,636734202,645096753,1015815959,23,537974151,177987,409939983
880,140037967,358198320,149312461,574905389,10,933592180,178088,923540429
881,968250517,358198320,92998158,766427479,12,150861774,178188,221634258
882,409889900,769378664,136548634,147979726,12,778442747,178288,92117159
883,295141594,636734202,930522560,888267572,18,376446406,178388,552072535
