U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE
130892,0,0,0,77974
131388,8,10,18,69540
131430,0,1,1,55423
131538,1,3,4,71237
131640,6,7,13,70372
131967,0,3,3,66838
132125,3,5,8,36110
132182,0,0,0,72295
132436,1,2,3,63049
132478,0,1,1,61242
132596,2,8,10,81793
132827,16,18,34,2864
132829,14,22,36,67288
132847,0,2,2,64400
132857,1,3,4,18546
133017,0,4,4,68303
133067,1,2,3,57685
133111,1,3,4,11953
133250,0,1,1,71736
133265,0,2,2,74110
133528,1,1,2,80665
133556,0,0,0,78334
133571,0,1,1,58502
133574,0,2,2,77452
133756,0,0,0,79975
133810,0,1,1,71602
133812,0,2,2,8917
133841,0,0,0,75085
133854,1,2,3,76988
134023,0,2,2,61790
134107,1,1,2,61950
134283,0,1,1,60932
134290,3,1,4,57655
134333,1,1,2,64346
134352,1,1,2,77437
134554,0,3,3,3068
134853,0,0,0,71475
135079,0,0,0,67612
135265,1,1,2,38993
135427,1,1,2,58750
135555,3,6,9,46931
135916,0,1,1,55860
136726,3,2,5,59201
136801,1,1,2,73624
136907,0,3,3,72526
137059,0,2,2,73283
137174,1,0,1,34073
137188,0,1,1,59305
137490,2,1,3,59987
137584,1,1,2,70021
137652,1,2,3,13086
137967,0,0,0,26441
138041,0,1,1,74973
138089,1,3,4,56574
138173,2,1,3,56096
138216,0,0,0,76195
138591,2,6,8,64728
138663,4,6,10,57684
138665,1,1,2,61455
138666,3,4,7,58151
138739,0,0,0,77233
138766,2,9,11,78104
138801,0,0,0,57674
138830,0,1,1,79623
139112,1,2,3,58483
139198,0,2,2,77200
139359,0,1,1,56809
139593,0,0,0,25162
139726,2,6,8,73194
140089,1,2,3,60030
140109,0,4,4,69914
140157,1,0,1,66280
140301,0,0,0,51439
140422,0,0,0,63251
140650,0,0,0,84095
140815,1,1,2,60979
140970,0,1,1,57246
141039,0,0,0,72687
141204,0,1,1,69066
141253,1,1,2,86361
141367,0,1,1,71555
141722,0,1,1,56519
141756,0,1,1,74377
141930,0,0,0,70286
142002,1,2,3,75737
142069,0,1,1,69653
142125,0,1,1,55352
142408,0,1,1,71239
142454,0,0,0,53101
142623,0,1,1,55707
142644,0,1,1,55168
142826,3,3,6,67842
142835,3,3,6,68361
142862,1,1,2,67673
142992,1,1,2,41826
143211,4,4,8,67533
143412,0,0,0,63807
143517,1,1,2,76472
143528,0,1,1,77576
143546,4,4,8,68658
143554,5,8,13,85907
143579,0,1,1,55353
143654,0,1,1,55143
143704,0,1,1,80329
143912,1,4,5,15424
143977,2,0,2,41006
144247,2,1,3,56303
144338,10,11,21,37576
144339,0,1,1,66027
144499,0,3,3,30592
144568,0,1,1,72390
144646,0,2,2,58326
144815,0,1,1,57879
144977,0,1,1,66670
144996,0,0,0,23897
145108,1,1,2,60025
145287,1,1,2,52657
145408,0,2,2,38581
145501,2,2,4,74404
145550,1,3,4,62978
145888,2,3,5,41236
145918,1,3,4,57525
146284,0,0,0,72062
146642,1,2,3,29063
146704,0,2,2,58314
146847,0,0,0,9062
147036,0,1,1,57344
147228,1,1,2,38437
147322,0,0,0,71575
147324,1,1,2,82156
147325,1,1,2,71028
147421,0,0,0,56826
147510,3,2,5,8357
147717,0,0,0,35770
147808,0,0,0,61505
147993,10,11,21,57313
147997,3,5,8,70355
148122,0,1,1,80620
148232,0,1,1,73138
148237,3,7,10,47244
148247,0,0,0,56831
148421,1,1,2,76369
148526,0,1,1,73747
148602,0,2,2,55454
149053,0,0,0,70845
149249,0,1,1,69255
149268,2,3,5,23861
149346,1,1,2,57317
149403,0,1,1,4216
149467,0,2,2,65363
149691,2,14,16,71903
149737,0,3,3,50864
149824,0,0,0,45004
150704,0,1,1,67187
150805,0,0,0,8796
150912,0,1,1,77311
151045,0,1,1,63620
151054,0,1,1,74352
151159,1,1,2,84854
151979,1,2,3,56027
152027,0,0,0,12210
152095,1,1,2,55252
152400,1,2,3,47755
152407,1,3,4,60373
152500,0,0,0,43510
152579,0,1,1,55775
152912,1,1,2,64210
152985,2,3,5,72911
153003,0,1,1,73470
153386,1,5,6,67185
153566,0,1,1,22228
153793,2,1,3,65522
154573,6,10,16,50159
154584,7,8,15,46312
154833,0,1,1,55680
155034,0,2,2,59345
155105,0,2,2,55386
155398,0,2,2,66168
155471,0,1,1,56115
155554,0,1,1,77000
155637,0,0,0,59451
155672,0,0,0,71209
156007,1,2,3,66568
156105,0,0,0,70789
156846,0,0,0,31712
157276,0,1,1,78223
157599,0,1,1,58556
157892,0,0,0,79711
158065,0,1,1,73572
158097,2,2,4,59745
158289,1,1,2,57151
158315,1,2,3,42097
158584,1,1,2,77207
158836,0,0,0,65844
158955,1,2,3,75164
159116,1,2,3,74647
159332,0,1,1,74927
159525,0,0,0,72093
159620,1,4,5,73556
159981,0,1,1,55072
159983,2,1,3,55057
160038,13,16,29,80817
160055,5,3,8,16054
160176,0,1,1,74949
160382,0,0,0,58260
160612,1,2,3,58727
160629,1,3,4,57342
160633,1,2,3,60147
160819,0,0,0,33717
161069,0,1,1,56009
162085,1,1,2,51007
162268,2,0,2,37866
162325,2,4,6,70654
162386,1,1,2,7519
162536,0,2,2,66357
162541,1,0,1,69177
162569,1,1,2,74974
162639,0,0,0,31749
162686,0,0,0,81545
162719,0,0,0,68090
162721,3,3,6,68212
162855,0,4,4,44757
162863,0,2,2,62080
162952,0,1,1,85875
163149,0,2,2,1061
163347,0,0,0,59714
163684,1,2,3,72103
164031,0,0,0,69128
164116,0,2,2,83530
164139,0,1,1,66121
164151,2,2,4,69074
164493,0,1,1,74053
164503,1,2,3,56027
164744,1,2,3,54577
164745,0,1,1,32417
165573,0,0,0,67290
165791,1,2,3,15805
165957,0,1,1,85731
165978,3,4,7,9525
165992,0,1,1,82421
166174,2,2,4,29356
166454,2,7,9,67117
166476,1,4,5,73189
166628,0,0,0,58499
166629,1,0,1,78568
166682,0,0,0,24396
166842,0,1,1,69778
166945,1,2,3,57079
167290,2,1,3,75589
167306,1,1,2,65636
167547,0,1,1,67607
167681,0,0,0,58160
167739,0,2,2,67768
167769,1,3,4,60106
167846,0,0,0,55363
168124,0,2,2,59998
168283,0,1,1,74375
168365,2,2,4,3422
168424,0,0,0,33987
168554,0,0,0,5597
168585,1,2,3,77734
168623,0,3,3,58424
168677,0,2,2,59573
168935,7,9,16,59432
169031,0,2,2,73204
169253,0,0,0,85833
169614,2,3,5,72067
169664,1,8,9,72671
170101,0,0,0,16472
170141,0,1,1,51513
170261,0,0,0,74257
170661,1,5,6,84618
170702,2,4,6,55272
170787,0,0,0,71173
170844,0,0,0,76589
170925,3,2,5,48961
170952,1,0,1,25054
171000,1,1,2,55372
171049,0,1,1,80168
171050,1,2,3,66689
171071,2,1,3,76982
171095,0,1,1,62362
171145,2,2,4,53541
171691,3,2,5,71653
171763,2,2,4,70324
172389,1,2,3,83833
172473,0,1,1,55754
172534,0,2,2,66115
173131,1,2,3,66013
173138,1,2,3,21240
173391,1,2,3,71115
173392,1,3,4,70896
173406,0,3,3,80557
173412,0,1,1,66078
173415,1,1,2,83757
173422,0,3,3,71006
173728,0,0,0,22622
173781,0,1,1,61100
174346,0,0,0,51631
174678,3,3,6,77678
174750,0,0,0,31717
174754,0,0,0,10447
175035,0,1,1,79842
175065,3,4,7,72401
175283,1,1,2,8831
175567,0,1,1,71223
175569,2,2,4,58122
175719,1,2,3,11955
175804,1,2,3,67668
175911,1,2,3,83144
176199,0,1,1,62799
176341,0,0,0,66336
176388,0,1,1,66949
176481,0,4,4,1451
176488,0,0,0,14212
176859,2,4,6,66882
177265,2,3,5,83754
177672,0,3,3,69362
177943,1,2,3,74895
178008,0,1,1,73734
178337,0,1,1,46357
178396,0,1,1,71530
178634,0,1,1,74556
179239,0,1,1,56982
179254,2,2,4,70560
179322,1,2,3,66875
179622,4,9,13,68371
179799,3,3,6,74475
179882,0,1,1,74508
180058,0,0,0,19780
180078,0,0,0,69622
180597,1,5,6,45648
180842,0,2,2,55583
181364,0,1,1,56441
181800,0,1,1,84054
182007,0,1,1,75138
182039,0,0,0,12360
182043,2,2,4,40124
182254,1,8,9,83746
182424,0,1,1,78490
182497,4,5,9,70046
182906,4,3,7,37098
182979,2,2,4,69384
183325,0,0,0,12730
183449,1,1,2,70140
183496,0,0,0,34146
183569,0,1,1,56892
183768,0,1,1,74018
183976,0,2,2,75924
184039,1,1,2,71277
184615,1,1,2,723
184623,0,1,1,51268
184805,0,6,6,10171
184994,1,0,1,69291
185057,0,1,1,59388
185254,0,0,0,82687
185374,1,4,5,60128
185591,0,1,1,55642
185595,0,2,2,70665
185735,1,0,1,38923
185901,1,3,4,4564
185993,0,2,2,76255
186030,1,1,2,73464
186091,0,2,2,76671
186184,5,5,10,10812
186459,0,0,0,77314
187094,1,1,2,66539
187225,0,0,0,84299
187228,0,1,1,54051
187719,0,0,0,78640
187903,0,1,1,18798
187918,2,10,12,48314
188408,1,0,1,79439
188676,0,1,1,75347
188761,0,0,0,53762
189146,0,0,0,77292
189328,0,0,0,33276
189779,6,4,10,47098
189955,0,0,0,41506
190062,1,1,2,8890
190120,0,0,0,59554
190284,1,3,4,67613
190295,0,2,2,66208
190296,2,3,5,66521
190316,0,3,3,56455
190403,0,2,2,60063
190520,0,0,0,80081
190847,1,1,2,69148
190887,0,2,2,59532
191005,0,1,1,66875
191049,0,1,1,78797
191445,0,1,1,69443
191510,0,4,4,73428
191607,0,3,3,47125
191629,0,0,0,66985
191794,0,0,0,29133
192017,0,1,1,66489
192086,1,0,1,60753
192128,0,1,1,71255
192414,2,1,3,26864
192913,0,2,2,79483
193112,4,3,7,44212
193230,0,0,0,30155
193604,0,1,1,66610
193679,0,1,1,67002
194069,1,1,2,36429
194192,0,0,0,58465
194253,0,0,0,68375
194408,1,1,2,80523
194952,0,1,1,73788
195059,0,2,2,15216
195096,1,1,2,74345
195446,0,0,0,51835
195517,3,3,6,66950
195518,3,3,6,66705
195520,2,2,4,86159
195541,0,3,3,75235
195555,0,1,1,74172
195886,0,1,1,6290
195999,0,1,1,83514
196130,1,2,3,11610
196145,0,0,0,5110
196162,1,1,2,68623
196491,0,1,1,77663
196530,1,3,4,59965
196531,1,2,3,60807
196662,0,1,1,66721
197024,1,1,2,74886
197061,0,2,2,5710
197097,0,0,0,4411
197357,0,0,0,20746
197427,0,0,0,52710
197923,1,2,3,73375
198128,1,3,4,35645
198298,0,0,0,17591
198347,1,1,2,71834
198531,2,2,4,61166
198589,0,0,0,42111
198639,0,2,2,48258
198907,0,1,1,81276
198924,0,0,0,50649
199020,0,0,0,66905
199121,0,2,2,8677
199226,1,1,2,69878
199234,0,1,1,74816
199693,1,8,9,25267
199695,2,13,15,38847
199748,0,1,1,55380
199845,1,1,2,66069
199981,0,1,1,64601
200218,0,0,0,72898
200332,2,3,5,72119
200371,0,1,1,76537
200423,0,0,0,77669
200645,1,1,2,69940
200662,0,0,0,71517
200711,1,2,3,73888
200881,1,1,2,65248
200968,0,1,1,66365
201307,0,1,1,81773
201308,0,2,2,57536
201649,0,1,1,68629
201893,2,2,4,74642
202439,0,3,3,79721
202476,4,3,7,78073
202479,2,1,3,76869
202480,2,2,4,16001
202482,2,2,4,77171
202619,0,0,0,39838
202648,0,1,1,80758
202689,0,3,3,56958
202743,0,0,0,69313
203001,0,0,0,55303
203046,0,0,0,69124
203358,0,0,0,3715
204111,1,1,2,50078
204230,0,1,1,66637
204290,1,2,3,61564
204518,1,3,4,34578
204932,1,3,4,76961
205159,2,2,4,62456
205759,0,0,0,64915
205787,0,0,0,26321
205864,0,0,0,2642
205891,0,1,1,69451
205945,0,0,0,44425
206354,1,3,4,59870
206362,1,5,6,3314
206392,1,1,2,26047
206507,0,1,1,66164
207121,0,1,1,68590
207261,0,1,1,66002
207704,1,2,3,52099
207707,1,1,2,7447
207711,4,4,8,77303
207722,0,1,1,77489
207728,0,0,0,59689
207933,0,1,1,66201
208279,0,1,1,33546
208328,3,4,7,71323
208355,0,1,1,78183
208442,0,0,0,72987
208472,0,1,1,85521
208505,0,0,0,67287
208623,0,2,2,72764
208641,2,1,3,73217
208716,0,1,1,74391
208997,1,1,2,50005
209129,0,1,1,62741
209474,0,1,1,55033
209567,1,1,2,68364
209611,0,1,1,22170
209664,0,2,2,68880
210100,0,1,1,55352
210119,1,2,3,66133
210904,0,2,2,75012
210905,0,0,0,57649
211369,0,1,1,58999
211431,3,0,3,63353
211529,0,1,1,69479
211640,1,1,2,53978
211701,0,0,0,50788
211730,0,0,0,72664
211740,0,0,0,76605
212156,0,0,0,26098
212363,0,1,1,72399
212560,1,0,1,44013
212726,1,1,2,74146
212781,1,1,2,55942
212805,0,1,1,59507
212866,0,1,1,73471
213163,2,1,3,4966
213389,0,0,0,84889
213439,0,1,1,68623
213518,1,1,2,60734
213519,2,2,4,51603
213592,0,1,1,80011
213792,0,3,3,73281
213897,1,2,3,75179
214025,4,4,8,73445
214042,0,1,1,69658
214046,0,1,1,65994
214087,0,1,1,37597
214507,0,1,1,66111
214857,1,1,2,61718
214999,0,1,1,66477
215024,0,1,1,74683
215090,0,0,0,73127
215171,0,1,1,77938
215675,0,0,0,56316
215785,0,1,1,69131
215859,0,1,1,75680
216211,0,2,2,64939
216348,0,0,0,85622
216365,1,1,2,79926
216374,3,4,7,67983
216483,1,1,2,17525
216602,0,0,0,41062
216817,0,1,1,56467
217029,0,2,2,67323
217322,0,2,2,54783
217828,0,0,0,63491
217948,0,1,1,66035
217972,0,0,0,62357
218584,0,0,0,28438
219007,0,1,1,74785
219218,0,1,1,55267
219303,1,0,1,69627
219490,2,11,13,73694
219774,0,1,1,63950
220523,0,1,1,53395
220557,0,0,0,75091
220796,1,1,2,84277
220954,0,2,2,56944
221069,0,1,1,66649
221339,0,2,2,66009
221430,0,1,1,65011
221496,0,2,2,59685
221823,0,1,1,68519
222421,0,1,1,82642
222533,0,0,0,1486
222663,0,0,0,21412
222831,0,1,1,60223
223125,0,4,4,43999
223143,0,0,0,44762
223726,0,0,0,58630
223789,1,1,2,172
223818,0,0,0,44474
223914,2,2,4,59789
223917,0,2,2,66523
224237,0,1,1,75351
224480,5,3,8,2533
224595,1,1,2,75927
224603,0,0,0,75996
225122,0,1,1,67767
225572,0,1,1,66102
225714,0,1,1,69905
226133,0,0,0,71920
226372,0,0,0,73756
226555,0,1,1,61312
226677,0,0,0,78470
226803,1,0,1,10906
227321,0,0,0,26241
227558,0,0,0,47559
228148,0,0,0,66052
228311,4,5,9,15104
228379,0,1,1,79336
228557,1,2,3,71505
228656,1,1,2,67467
229083,0,1,1,14822
229230,0,2,2,67121
229624,0,1,1,66498
229691,2,2,4,81330
229706,0,1,1,66114
230147,0,0,0,71203
230276,0,1,1,66197
230462,0,1,1,66000
230483,0,1,1,66076
230753,0,1,1,81616
231918,0,0,0,49725
232834,0,0,0,81162
232850,1,2,3,27545
232891,0,0,0,52072
232981,0,6,6,83460
233128,0,1,1,76627
233404,1,4,5,51603
233663,0,0,0,77438
233730,0,1,1,55368
234003,0,0,0,68047
234305,0,0,0,66959
234508,0,1,1,66094
234582,0,0,0,76737
234621,1,2,3,77502
234955,0,2,2,71915
235296,0,1,1,69045
235395,0,0,0,63215
235399,0,2,2,63574
235712,0,2,2,82806
235957,0,0,0,4173
236064,1,1,2,72382
236113,0,3,3,86168
236406,0,0,0,54650
236423,0,1,1,63277
237221,0,1,1,66346
237987,0,0,0,31784
238481,1,2,3,75340
238743,0,0,0,66566
238911,0,2,2,68973
239052,0,1,1,60457
239074,0,2,2,66800
239144,0,1,1,66859
239203,0,1,1,73618
239829,0,0,0,72891
240547,0,1,1,67814
240896,0,1,1,69915
240922,0,1,1,66838
240985,0,0,0,23360
242089,0,1,1,61224
242165,0,0,0,84625
242234,0,0,0,24936
242261,0,0,0,44524
242386,2,2,4,12509
242523,0,0,0,67229
242626,0,1,1,71859
242724,0,1,1,66984
242812,0,0,0,70444
242840,1,1,2,52608
243025,1,1,2,73018
243282,0,2,2,68186
243349,0,1,1,66157
243571,0,1,1,73079
243643,1,2,3,79931
243882,0,0,0,27799
244043,0,1,1,53466
244093,0,1,1,74169
244191,0,1,1,67482
244358,0,0,0,72211
245202,0,0,0,53476
245308,0,2,2,77086
245543,0,1,1,58071
245607,1,3,4,74309
245817,0,0,0,56553
246346,0,0,0,44093
247125,1,0,1,2462
247273,0,0,0,68694
247581,0,1,1,20834
247674,0,0,0,6093
247775,0,1,1,58276
247906,0,0,0,73495
247996,2,2,4,71272
248156,0,1,1,81761
248466,0,2,2,58718
248489,1,1,2,84333
248527,0,1,1,67544
248899,0,1,1,67641
248971,0,2,2,55116
249095,0,1,1,63102
249143,0,0,0,66103
249877,0,0,0,57610
250231,0,0,0,33114
250393,0,1,1,76560
250401,1,0,1,7979
250519,2,1,3,65495
250626,0,1,1,68717
251497,0,0,0,68479
252235,0,1,1,37256
252636,0,2,2,69192
252733,0,1,1,61899
253094,2,2,4,45095
253403,0,1,1,66598
254611,2,3,5,41250
255055,0,1,1,67453
255217,0,1,1,66468
255242,0,0,0,59545
255320,0,0,0,42745
255849,0,1,1,55118
255850,0,1,1,37748
255911,0,2,2,66332
256016,1,1,2,64155
256772,0,1,1,62354
256774,0,1,1,82581
257071,0,0,0,84852
257098,0,0,0,81088
257249,0,0,0,77690
257364,0,4,4,66723
257829,0,0,0,73618
258313,2,2,4,46823
258317,2,2,4,68480
258526,0,1,1,66541
258538,0,1,1,66779
258751,1,1,2,56479
259593,0,2,2,70616
259769,0,0,0,70388
260323,1,1,2,57379
260375,1,1,2,49612
260997,1,1,2,63528
261100,0,0,0,57402
261145,1,1,2,68289
261212,1,2,3,62739
261373,0,0,0,74446
261594,0,0,0,59063
261698,1,1,2,64403
262151,0,1,1,67424
262258,0,1,1,74207
262389,0,0,0,78757
262501,0,1,1,78703
262576,0,1,1,66300
263870,1,1,2,74434
264041,0,1,1,78638
264063,0,1,1,51416
264232,0,2,2,59522
264285,0,0,0,68720
264411,0,0,0,58402
264646,0,0,0,63565
264874,0,2,2,74540
265367,0,2,2,62491
265408,1,0,1,71258
265531,0,1,1,66666
265559,0,0,0,14305
265700,0,0,0,71821
265813,1,1,2,41979
265816,1,1,2,52367
266037,0,1,1,76373
266557,1,1,2,47016
266825,0,1,1,62249
267206,0,1,1,66488
268170,0,1,1,55007
268263,0,3,3,67510
268545,0,1,1,77367
269340,0,0,0,40073
269512,1,1,2,85074
270306,0,1,1,73688
270513,0,0,0,49874
271112,0,1,1,62597
271257,0,1,1,69978
271518,0,2,2,60340
271643,0,1,1,60009
271995,2,3,5,12023
272099,0,1,1,66741
272273,0,1,1,73685
272348,1,1,2,74566
272349,1,2,3,74095
272516,0,1,1,68385
272570,0,0,0,44302
272652,0,0,0,60790
272656,0,1,1,73953
272693,0,4,4,73232
272765,0,1,1,73163
273680,0,0,0,72064
273748,0,0,0,71478
273752,0,1,1,83421
273816,1,1,2,85309
273860,0,1,1,59810
274049,0,1,1,68576
274266,0,1,1,81281
274649,0,1,1,67439
275382,0,2,2,61373
275554,0,1,1,66907
276071,0,0,0,54319
276745,0,1,1,68369
276891,0,1,1,58282
277321,0,2,2,61606
277329,0,1,1,77517
277659,0,2,2,66125
277858,1,1,2,82425
278040,0,2,2,65689
278251,1,3,4,74043
278548,0,0,0,72387
278775,0,1,1,58685
279049,0,1,1,73148
279050,0,1,1,74790
279143,0,1,1,66239
279207,1,2,3,57969
279316,0,1,1,29596
279602,1,1,2,64088
279771,0,1,1,73975
279805,0,1,1,68878
279875,0,0,0,74666
279880,0,0,0,55923
279983,1,1,2,49703
279985,0,2,2,16878
280425,0,2,2,67856
280645,0,1,1,67558
280783,0,0,0,74519
280814,0,0,0,67847
281188,0,1,1,66707
281493,0,1,1,59122
281951,0,0,0,10780
282095,0,1,1,67772
282200,0,1,1,66177
282758,1,2,3,65217
283284,0,2,2,76532
283485,0,0,0,80511
283614,0,3,3,40442
284882,0,1,1,78920
284917,0,1,1,73735
284994,0,1,1,86337
285491,0,0,0,75447
285913,1,1,2,15734
285914,2,2,4,14761
286005,0,2,2,59481
286030,1,1,2,75022
286094,0,1,1,77332
286355,0,0,0,69131
286479,0,0,0,84056
287057,0,1,1,71278
287068,0,2,2,59827
287700,0,1,1,66153
287935,0,0,0,75511
287954,0,0,0,47541
288008,0,1,1,70238
288386,0,0,0,13795
288408,1,1,2,49731
289037,0,0,0,82834
289536,0,2,2,75188
289650,0,1,1,70323
290193,0,0,0,77180
290304,2,2,4,69157
290717,0,2,2,68071
290756,0,0,0,55435
291044,0,1,1,67638
291390,0,0,0,23138
292033,1,1,2,73825
292035,1,1,2,72816
292721,1,1,2,74281
292933,0,1,1,79791
293156,0,1,1,56614
293237,0,0,0,68853
293802,0,1,1,66105
294403,2,2,4,8558
294416,0,1,1,80979
294547,0,0,0,22865
294956,0,1,1,67613
294978,0,0,0,73470
295225,0,0,0,64861
295227,0,1,1,56064
295413,0,1,1,67745
295584,1,1,2,52107
295742,0,1,1,74958
295761,0,1,1,67681
295820,0,0,0,72094
295866,1,1,2,24039
295882,0,0,0,42092
295958,1,1,2,8302
295959,1,1,2,34667
296119,1,1,2,12895
296120,1,1,2,12834
296524,0,0,0,11576
297081,0,1,1,83215
297225,0,0,0,24331
297624,0,2,2,70009
298237,0,2,2,61419
298559,0,1,1,39497
298623,0,1,1,68964
298696,1,1,2,74175
299557,0,1,1,75254
299771,0,0,0,83704
300580,0,1,1,74949
300607,0,2,2,75196
300856,0,0,0,3208
300983,1,0,1,58735
301047,0,0,0,65493
301422,0,1,1,64027
301618,0,0,0,77917
301695,0,2,2,67911
301897,0,0,0,77957
302219,0,1,1,82517
302519,0,0,0,58435
302527,1,1,2,68224
303035,0,1,1,82242
303664,1,3,4,59475
303711,0,1,1,67588
303967,0,0,0,70190
304001,0,1,1,75807
304552,0,1,1,66380
304826,0,0,0,72442
305110,0,1,1,66204
305121,0,0,0,73374
305128,0,1,1,58491
305541,0,0,0,83725
305864,0,0,0,70158
305865,1,1,2,27324
306029,0,1,1,79469
306171,0,1,1,77473
306807,1,0,1,63186
306994,0,0,0,77161
307383,0,1,1,82011
307970,0,0,0,85240
308370,1,2,3,67798
309469,0,1,1,60123
309547,0,2,2,53759
310040,1,1,2,75482
310224,0,1,1,84653
310788,0,1,1,68960
311589,0,1,1,76416
311706,0,1,1,77856
312363,0,1,1,64992
312498,0,1,1,67164
313247,0,1,1,66197
313283,0,1,1,69747
313724,0,2,2,66707
314127,0,1,1,63531
314411,0,0,0,38626
314449,1,1,2,36522
314759,0,1,1,62437
315402,1,1,2,34507
315529,0,0,0,65716
315802,0,0,0,13259
315855,0,1,1,71111
315864,0,1,1,66732
317218,0,1,1,64073
317429,0,1,1,17209
317866,1,1,2,43025
318634,0,1,1,66833
318635,1,1,2,65678
318636,1,1,2,66593
318838,0,0,0,5701
319006,0,1,1,77270
319037,0,0,0,18078
319162,0,2,2,73904
319542,3,2,5,42334
320089,0,2,2,48137
320134,0,0,0,47400
320256,3,3,6,67432
320599,0,0,0,43733
321061,0,2,2,67888
321079,0,2,2,69325
321340,0,0,0,9167
321527,0,0,0,57568
322465,0,1,1,69132
322495,0,0,0,57017
322885,0,0,0,79852
324033,0,0,0,71543
324345,0,0,0,71641
324358,0,1,1,68762
324955,0,0,0,41618
325485,0,2,2,76984
325810,0,0,0,71173
325821,0,0,0,1341
325915,1,1,2,2349
325916,1,1,2,2300
326051,1,1,2,46856
326426,0,2,2,64702
327431,0,1,1,76455
327844,0,0,0,62661
328165,0,0,0,71572
328660,0,1,1,66163
328870,0,0,0,58448
329011,0,0,0,48221
329065,0,0,0,25448
329291,0,3,3,54904
329378,0,1,1,71502
329388,0,0,0,48689
329762,0,0,0,41949
329815,0,1,1,68159
330158,0,0,0,29153
330171,1,1,2,57604
330384,0,1,1,75088
330639,0,2,2,60772
330895,0,0,0,63022
331228,0,1,1,66831
331303,0,0,0,66845
331320,0,0,0,4687
331456,0,1,1,78572
331689,0,1,1,84129
331965,1,1,2,3689
331967,1,1,2,3991
332257,0,0,0,60649
332366,0,0,0,76867
332563,0,1,1,72388
332827,0,1,1,31026
333584,0,1,1,74534
333973,0,1,1,67910
334723,0,3,3,78838
334930,0,0,0,72458
335209,0,1,1,66103
335810,0,1,1,74491
336508,0,1,1,56927
336896,0,0,0,72819
336911,0,1,1,78627
337321,1,0,1,66929
337324,0,0,0,77333
337558,0,1,1,73471
337624,0,2,2,76485
337798,0,0,0,79849
337809,0,1,1,55646
337963,0,1,1,76269
338862,0,0,0,77504
339266,0,1,1,74555
339286,0,1,1,78110
340007,0,0,0,50953
340042,0,0,0,59266
341003,0,0,0,72886
341261,0,1,1,71366
341298,0,1,1,66537
341759,0,0,0,51390
341901,0,1,1,54518
342129,0,2,2,55963
342229,0,0,0,27361
342442,0,1,1,67402
342449,0,1,1,66240
342910,1,1,2,71409
342980,0,1,1,66152
343014,0,1,1,71446
343164,1,2,3,66075
343201,1,1,2,52665
343295,0,0,0,41199
343677,0,0,0,49754
343700,0,0,0,24766
343932,0,0,0,75899
343984,1,1,2,81284
344115,0,0,0,67348
344200,0,0,0,26516
344255,1,1,2,57491
344287,0,2,2,56531
344380,1,2,3,63196
344524,2,2,4,42461
345303,0,1,1,59516
346096,0,2,2,68657
346234,0,1,1,72705
346255,1,4,5,69890
346418,0,1,1,62325
347081,0,0,0,68765
347428,0,1,1,66912
347622,0,0,0,70879
348184,0,1,1,67660
348388,0,0,0,75068
348573,0,1,1,67394
350137,0,2,2,65982
350200,0,2,2,55103
350234,0,0,0,77163
350621,0,1,1,66299
350824,0,1,1,68720
351018,0,0,0,26883
351217,0,1,1,66246
351608,0,1,1,18954
352384,0,1,1,66340
352997,0,1,1,79385
353475,0,2,2,85384
353709,0,0,0,71494
353830,0,1,1,72516
353996,1,1,2,76911
354323,0,2,2,58334
354470,0,2,2,59255
354906,0,1,1,66067
355203,0,1,1,69566
355666,0,0,0,76471
355693,0,1,1,65466
356177,0,1,1,73020
356205,0,0,0,72352
356803,0,1,1,86030
356993,0,0,0,67184
357068,2,2,4,39792
357511,0,2,2,66300
357642,0,0,0,11079
357796,0,1,1,86319
357827,0,1,1,66979
358677,0,0,0,39428
359120,0,1,1,74234
359385,0,1,1,51325
359655,0,0,0,84254
360025,0,1,1,66474
360072,1,1,2,72699
360504,0,0,0,83985
360557,0,1,1,58304
360905,0,0,0,64541
361614,1,1,2,69248
361932,0,1,1,64608
362218,0,1,1,66642
362314,0,1,1,68192
362327,0,1,1,72956
362624,0,1,1,67125
363009,0,1,1,69599
364196,0,0,0,38610
364295,0,0,0,50117
364376,1,1,2,950
364663,0,0,0,75380
364847,0,0,0,72278
365054,0,3,3,85628
365162,0,2,2,68040
365400,0,1,1,73173
365518,1,2,3,72941
365519,1,2,3,71896
366196,0,1,1,60211
367674,1,1,2,70675
367675,1,2,3,68150
367706,0,1,1,68127
367713,0,1,1,66739
367874,0,1,1,73123
368430,0,1,1,40789
368666,0,1,1,66416
368677,0,0,0,26499
368867,0,1,1,55155
368929,0,2,2,66209
369148,0,1,1,12168
369224,0,0,0,44264
369236,0,0,0,52590
369576,0,1,1,78043
369633,0,1,1,56829
369752,0,0,0,50590
370500,0,1,1,66309
370624,0,2,2,67183
370877,0,2,2,76419
370986,0,0,0,85231
371075,0,0,0,72905
371136,0,0,0,62131
371197,0,1,1,63140
371274,0,0,0,61120
371590,0,1,1,64696
371881,0,2,2,56340
371956,0,1,1,68813
371975,0,1,1,66778
372075,0,1,1,77834
372698,0,1,1,60619
372884,0,1,1,70638
373515,0,1,1,67742
373751,0,0,0,44796
374512,0,1,1,66230
374703,0,0,0,18081
374809,0,0,0,34450
375074,0,0,0,83157
375587,0,1,1,66620
