FO_FROM,FO_TO
139726,2517
139726,4412
139726,40973
139726,64965
139726,35839
139726,84112
306029,3369
62001,5393
62001,28383
62001,40973
162721,142835
162721,53819
162721,131640
28254,78347
126714,129341
126714,17172
126714,40581
308370,3369
308370,175569
35249,8755
198907,3369
2912,158289
162863,12751
162863,67382
215171,510
309469,24919
309547,3604
309547,10053
130622,6645
130622,6658
130622,6669
130622,73367
130622,6672
130622,93293
130622,6692
130622,39089
130622,93308
130622,93317
130622,109391
130622,93339
130622,10381
187228,24919
310040,213897
289536,4
289536,3369
310788,3369
164745,14825
73034,99919
62564,8755
62564,163684
132829,6982
132829,2517
132829,4412
132829,3604
132829,131388
132829,9951
132829,51319
132829,13123
132829,59000
132829,40973
132829,132827
132829,65851
132829,110388
132829,54755
132829,96291
132829,64965
132829,144338
132829,35839
132829,42909
132829,37001
132829,15885
132829,143554
311589,3369
165992,3369
311706,3369
7185,38602
113078,76165
82741,131388
82741,9951
82741,51319
82741,59000
82741,107693
82741,40973
82741,147993
82741,124378
82741,64965
82741,124379
82741,35839
82741,42909
82741,69642
82741,93171
82741,10381
82741,81674
147993,131388
147993,93106
147993,9951
147993,129341
147993,82741
147993,64965
147993,122529
147993,168935
147993,69642
147993,93171
147993,81674
177943,194408
177943,130153
312498,3369
121932,154573
121932,6645
121932,47498
121932,9208
121932,93293
121932,9229
6672,6645
6672,6658
6672,6677
210100,510
294956,3369
39885,47460
39885,16801
39885,92274
39885,104541
39885,12751
39885,13808
39885,110170
39885,39889
39885,103447
39885,23214
39885,84647
39885,67382
39885,124398
313247,3369
85090,531
85090,119769
85090,143211
110388,132829
36474,3604
36474,1805
36474,36810
49217,176859
255850,88078
140109,55976
140109,4665
140109,1551
140109,5123
214857,24890
124086,95235
99919,73034
99919,130757
52293,29648
52293,12891
52293,10091
52293,10179
271995,93274
271995,6672
271995,9231
315864,3369
93481,23910
93481,189779
93481,93488
160038,6645
160038,6658
160038,93269
160038,73365
160038,93274
160038,6669
160038,73367
160038,6677
160038,6692
160038,39089
160038,93308
160038,93314
160038,6701
160038,165978
160038,6708
160038,143977
126878,4665
126878,531
133812,170925
133812,9208
186091,6053
186091,27676
317218,4
317429,64911
6677,6645
6677,6658
6677,6672
6677,39089
93279,93252
93279,6658
93279,73365
93279,93274
93279,6669
93279,73367
93279,6677
93279,93293
93279,39089
93279,93314
93279,6701
38517,35184
38517,317866
89807,47460
89807,16801
89807,92274
89807,6078
89807,11876
89807,3604
89807,13123
89807,109994
89807,12751
89807,13808
89807,10053
89807,16091
89807,67371
89807,64911
89807,103447
89807,53967
89807,51177
89807,100127
89807,10335
89807,67382
297624,3369
297624,53967
147036,6078
136907,1262
136907,510
136907,531
318635,318636
12751,439
12751,47460
12751,103759
12751,27484
12751,50910
12751,13790
12751,13123
12751,89805
12751,51241
12751,39885
12751,13808
12751,18506
12751,39889
12751,64911
12751,30097
12751,24215
12751,67382
12751,124398
319006,3369
4804,531
80952,4
80952,154573
80952,6645
80952,6658
80952,47499
80952,3066
80952,73365
80952,9208
80952,6669
80952,73367
80952,6672
80952,160038
80952,93279
80952,9231
80952,6692
80952,39089
80952,93308
80952,6701
80952,6708
134107,35809
235712,3369
235712,16649
105041,7684
319162,3369
319162,16649
185595,64528
185595,4475
13808,439
13808,92274
13808,11876
13808,3604
13808,26398
13808,23200
13808,13123
13808,39885
13808,12751
13808,39889
13808,64911
13808,53967
13808,67382
183976,167290
183976,4394
320089,4665
320089,5123
250393,3369
195517,174678
195517,195518
195517,320256
301422,4
41051,80592
41051,16649
29012,10179
29012,67504
29012,57367
321079,3369
321079,16649
245308,3369
245308,16649
18506,6982
18506,50910
18506,13123
18506,12751
18506,46056
18506,23976
18506,57648
18506,37001
18506,25284
18506,24215
18506,67382
77457,10945
91965,44799
91965,51166
91965,18057
91965,18506
91965,26092
65223,14570
10053,126571
175569,48226
175569,308370
138830,188408
106741,531
169664,4
169664,4665
169664,439
169664,50219
169664,20358
169664,185374
169664,23200
169664,1805
163149,4665
163149,26398
178634,67062
236423,4
324358,3369
196491,1400
271518,3369
271518,50434
159620,5123
159620,13790
159620,12751
159620,26092
235399,5192
235399,35184
113135,94062
325915,325916
326051,116323
56543,18057
70889,531
223789,213163
303664,3369
303664,16649
303664,197024
118274,71485
118274,13808
64723,8755
64723,33356
88963,4665
220796,26072
36521,11256
36521,29648
36521,11050
36521,54755
164151,9951
164151,179254
70111,18057
214507,3369
88838,92274
88838,3604
88838,12751
88838,39889
88838,64911
88838,103447
88838,84647
88838,67382
328660,3369
23910,93481
98453,6982
98453,5087
98453,4665
98453,50219
98453,5123
98453,25907
98453,27484
98453,26072
98453,3604
98453,50910
98453,12751
98453,13808
98453,18506
98453,26092
98453,39889
98453,100127
110170,39885
110170,12751
110170,39889
16091,17183
153793,158097
43996,4
43996,8755
43996,11978
294403,147510
294403,190062
3636,26398
329815,3369
26092,53575
26092,4665
26092,5114
26092,25907
26092,27484
26092,51166
26092,26398
26092,73709
26092,73710
26092,46733
26092,38602
26092,39889
100316,64729
56132,4
56132,105407
56132,44524
279207,3369
279207,330171
46418,78328
46418,145108
330384,3604
170661,175911
170661,3604
170661,75409
170661,53967
170661,84647
330639,3369
330639,16649
96734,92037
331228,46418
106666,4
106666,1118
106666,89619
106666,3369
331456,3369
331689,531
59356,265408
142125,152095
331965,331967
332563,48768
74765,73709
74765,12751
74765,26092
8966,33833
8966,4665
8966,50219
8966,20488
8966,5123
8966,16970
8966,92274
8966,25907
8966,28390
8966,11876
8966,39124
8966,6835
8966,51166
8966,26398
8966,73710
8966,2173
8966,121586
8966,12751
8966,13808
8966,26092
8966,106570
8966,103447
8966,51177
8966,23214
333584,3369
63486,53478
63486,63480
104571,33833
104571,13968
104571,28390
104571,3604
104571,115038
104571,13790
104571,50231
104571,104567
104571,16304
104571,16649
104571,22240
104571,50295
104571,101109
149268,295866
149268,59343
149268,147510
243282,122087
243282,319542
333973,3369
21006,24821
21006,116633
21006,60049
21006,95235
35184,6982
35184,72252
35184,1805
35184,38517
35184,98311
35184,23979
35184,193112
64413,138666
13815,11992
93293,6645
93293,6658
93293,6669
93293,73367
93293,130622
93293,121932
93293,6672
93293,6677
93293,93279
93293,6692
93293,39089
93293,93308
93293,6701
93293,93321
93293,93337
67371,47460
67371,16770
67371,3604
67371,89807
67371,12751
67371,103447
67371,67382
93294,6672
93294,6677
11223,28673
335209,3369
18895,111627
18895,11135
37694,22566
37694,37657
37694,5393
37694,12751
254611,9231
254611,6704
254611,93336
53281,8702
9229,47498
9229,121932
115567,8702
6053,3604
6053,27676
124378,4412
124378,59000
124378,40973
124378,132827
124378,82741
124378,64965
124378,144338
124378,108133
124378,35839
124378,42909
124378,80101
124378,69642
124378,123165
124378,81674
47517,47499
47517,9208
47517,47519
47517,9231
336508,4
77058,76165
250626,3369
315855,3369
298237,3369
298237,16649
162952,21782
43597,77138
43597,20327
336911,3369
30030,4
30030,9351
30030,47223
30030,337321
30030,205159
182497,214025
182497,81699
182497,93480
182497,189779
182497,93488
117033,125436
337809,4
279602,260997
305128,12751
133111,26417
133111,3369
133111,175719
138591,50218
138591,56426
138591,86903
138591,39124
138591,3604
138591,50241
219007,531
256772,50434
339286,3604
42831,5393
42831,171050
42831,81602
42831,115038
42831,2733
42831,1805
42831,126658
42831,132827
42831,206392
42831,58294
42831,122529
42831,228311
273752,3369
19295,6078
118514,118513
260375,288408
108653,6078
108653,48768
213792,16801
213792,3604
213792,39885
243349,3369
209567,79460
341298,3369
142862,53800
124110,8755
342129,26486
342129,3369
155398,3369
155398,16649
342449,3369
123982,18906
343014,3369
343201,100414
135427,74938
274649,3369
48985,4
162085,100414
10091,531
10091,52293
164116,1551
164116,12510
344287,4
344287,26054
8497,23120
319542,253094
319542,344524
143517,3604
9231,9208
113319,152985
25183,4
25183,510
179882,531
77616,18665
345303,300983
171145,18626
171145,28673
97881,3604
148237,56426
148237,64987
148237,39124
148237,3604
148237,64729
148237,31850
148237,132125
152400,197923
152400,3369
39889,47460
39889,3604
39889,13123
39889,39885
39889,12751
39889,13808
39889,23214
39889,67382
346096,3369
346096,16649
109113,510
109113,28539
269512,81241
11516,95455
11516,5192
11516,138665
38204,21565
347428,3369
271643,4665
64606,27252
17183,16091
51992,531
64998,56426
64998,38819
211640,77846
348573,3369
240896,48768
216374,541
216374,92037
216374,80888
216374,10284
111592,14570
111592,52210
111592,263870
65032,23116
65032,12641
65032,8497
350200,4
350200,28254
279316,13808
128270,76165
77138,22814
77138,87330
77138,43597
77138,20327
33356,64723
351217,3369
243571,8702
122729,3369
210119,3369
210119,74745
351608,38602
149403,76165
242724,3369
145408,99919
145408,76165
202479,202476
182906,39124
182906,64911
182906,116323
5157,4665
352384,3369
350824,3369
156007,3369
156007,77602
272693,3604
272693,26398
272693,13123
272693,40973
53302,8755
53302,87987
353475,3369
353475,16649
35015,14570
111181,21782
111181,43322
329291,4
329291,23214
329291,124398
353996,152985
354906,3369
206392,42831
271112,4
298559,12751
228656,3369
129505,26092
129505,35839
6692,93252
6692,6645
6692,73365
6692,170925
6692,93274
6692,6669
6692,73367
6692,130622
6692,6672
6692,160038
6692,6677
6692,93279
6692,93293
6692,93308
6692,6701
6692,93321
6692,95848
6692,93337
327431,67062
54755,97293
54755,11050
54755,60857
54755,132829
54755,36521
54755,95660
54755,193112
54755,143912
54755,122190
264063,9288
356177,3369
167306,118970
204518,73365
204518,6692
204518,109391
318636,318635
295584,59343
301695,3369
301695,16649
356803,3369
95829,45431
357796,510
357827,3369
72135,20849
253094,319542
253094,344524
46056,6078
46056,27252
46056,18506
46056,50962
46056,126814
92688,39885
92688,64911
92688,103447
92688,175065
92688,100127
92688,346255
92688,132857
92688,84647
141204,3369
352997,3369
143211,85090
143211,53787
143211,53800
143211,53859
359120,531
96291,3369
96291,37265
96291,131388
96291,9951
96291,51319
96291,59000
96291,40973
96291,132829
96291,64965
96291,34790
96291,124379
96291,179622
96291,122529
96291,35839
96291,42909
96291,15885
96291,168935
96291,93171
96291,123165
61732,73813
77464,10945
77464,23616
359385,3369
43322,21782
63090,3369
360025,3369
50266,26092
50266,64911
166454,1711
166454,5192
166454,3369
166454,541
166454,106209
166454,176859
166454,126479
100414,9288
100414,343201
100414,162085
105834,531
81105,10269
279985,3604
279985,10053
50952,6982
50952,16091
195999,3369
21804,4
207261,3369
199693,6645
199693,6658
199693,6669
199693,6672
199693,6677
199693,6692
199693,39089
199693,6701
59173,128811
95644,36521
95644,16016
95644,24215
167769,12751
167769,30437
167769,80101
361932,510
193604,3369
300607,250519
300607,48768
362218,3369
84752,439
84752,3604
84752,26398
362314,3369
362327,3369
362624,3369
12692,3369
12692,16649
12692,130712
322465,12641
60049,56426
60049,14570
60049,64987
60049,116633
60049,21006
60049,95235
118927,3369
118927,62877
286030,302527
363009,3369
229083,6677
158584,104889
39089,6645
39089,6658
39089,73365
39089,93274
39089,73367
39089,130622
39089,160038
39089,6677
39089,93279
39089,93314
39089,93317
39089,199695
190295,3369
190295,16649
73591,3369
73591,16649
124342,4
64965,40973
365054,12641
365054,23120
365054,8497
82689,82686
93308,6645
93308,73365
93308,93274
93308,6669
93308,73367
93308,130622
93308,160038
93308,80952
93308,93293
93308,6692
93308,6701
93308,93317
93308,93321
93308,95848
93308,93337
93308,6708
167739,3369
167739,16649
365400,3369
28866,12879
28866,28962
28866,120327
34790,2517
34790,59000
34790,96291
34790,64965
34790,120250
76165,87449
177672,23116
177672,12641
177672,65032
44415,6053
366196,50434
70654,56426
125419,125427
125419,290304
126231,531
144499,26486
144499,47321
144499,2173
138089,4
138089,92037
138089,9208
122663,116940
122663,97979
122663,108920
341901,100414
106209,5087
106209,4665
106209,5123
106209,27484
106209,3604
106209,149691
106209,13808
106209,26092
106209,166454
106209,103447
106209,175065
106209,109246
106209,71430
106209,75470
106209,100127
314449,23713
190296,3369
190296,190284
190296,16649
367674,367675
342442,3369
367706,3369
59343,3604
59343,149268
59343,250401
59343,295584
59343,147510
59343,175283
229624,3369
191510,4
191510,531
191510,1805
191510,16649
208997,121586
282758,3604
282758,44086
368666,3369
64911,4665
64911,439
64911,86903
64911,28951
64911,16801
64911,5123
64911,27983
64911,92274
64911,11876
64911,3604
64911,26398
64911,44933
64911,89805
64911,121586
64911,39885
64911,89807
64911,12751
64911,13808
64911,88838
64911,39889
64911,50266
64911,76165
64911,103447
64911,53967
64911,42179
64911,42180
64911,116323
64911,84647
64911,67382
368867,510
368929,22313
368929,94880
69034,3369
190887,3369
190887,16649
369576,8755
97979,122663
97979,208641
43352,3604
370500,3369
229691,28993
229691,10179
204290,3369
204290,198531
67062,125640
67062,3369
204230,3369
371197,510
57721,786
173406,3369
173406,187094
173406,16649
10168,28962
10168,10091
10168,10273
10168,67515
10168,75470
10168,67517
152985,140157
152985,113319
152985,353996
371590,4
371881,4
371881,58488
371956,3369
371975,3369
372075,510
144338,2517
144338,4412
144338,51319
144338,59000
144338,40973
144338,132827
144338,132829
144338,124378
144338,200332
144338,93171
144338,81674
236113,3369
236113,83479
236113,9351
372884,3369
54873,12891
111185,21782
111185,111181
331967,331965
95660,122190
38532,16649
79185,11256
79185,12751
373515,3369
98430,19048
98430,133854
98430,51177
339266,3369
3933,3604
106211,5087
106211,4665
28578,30351
374512,3369
195518,174678
195518,195517
195518,320256
50962,6982
50962,439
50962,26398
50962,13123
50962,12751
50962,13808
50962,39889
50962,46056
172389,23713
172389,63839
360072,80818
98639,121801
98639,57254
98639,66279
98639,93601
98639,179799
375626,3369
105170,111627
80035,3604
239074,3369
239074,16649
370624,23120
370624,8497
10179,14825
10179,28951
10179,12879
10179,29648
10179,12891
10179,43716
10179,43515
10179,52293
10179,29012
10179,229691
10179,29021
10179,67504
10179,44308
376324,3369
376344,376345
38327,3604
38327,77616
38327,51177
38327,36810
38327,86995
376822,3369
376822,16649
376903,3369
99258,3604
99258,376989
23713,50353
23713,314449
212781,258751
189779,266557
189779,93481
189779,182497
189779,93488
207707,11876
377620,531
171000,11876
147510,294403
147510,59343
92219,4
92219,50862
144339,3369
173131,3369
173131,121586
378484,3369
93314,154573
93314,73365
93314,160038
93314,93279
93314,39089
93314,6701
93314,6704
93314,93337
93314,154584
93314,224480
6701,93252
6701,6645
6701,6658
6701,73365
6701,93274
6701,73367
6701,160038
6701,93279
6701,80952
6701,6692
6701,199693
6701,93308
6701,93314
6701,93317
6701,199695
6701,93321
6701,6704
6701,180597
6701,93337
6701,154584
379254,3369
379254,16649
207722,3369
184615,364376
201893,98100
201893,145501
93317,6658
93317,130622
93317,6672
93317,39089
93317,93308
93317,6701
28539,109113
84225,29648
84225,12891
84225,10179
247581,12510
23976,6982
23976,136726
23976,13123
23976,12751
23976,18506
23976,16091
23976,37001
23976,23979
119553,20358
381032,3369
106570,3604
103550,4665
202480,202476
202480,202482
213519,213518
213519,279983
58939,8794
58939,39124
58939,45463
29021,28951
29021,12879
29021,29648
29021,12891
29021,29012
29021,10179
29021,95697
29021,67517
109391,6658
109391,130622
149737,83479
149737,9351
149737,24919
73725,439
73725,28673
375587,3369
66002,142002
272656,531
80818,120131
80818,57254
80818,360072
80818,198347
80818,243025
80818,344255
128871,2517
128871,3369
128871,110093
368430,3604
114104,5123
114104,3604
113395,53478
113395,113400
217322,47499
217322,93337
124379,96291
124379,100414
124379,194069
145501,98100
145501,201893
383474,3369
314759,16649
287057,71485
190062,294403
16016,6078
16016,28673
16016,27252
16016,106748
16016,145918
16016,24215
175719,3369
175719,133111
53787,53718
53787,143211
53787,53800
53787,131640
367675,3369
367675,367674
384164,12641
384164,23120
330171,279207
384806,3369
284994,531
80888,5192
80888,541
80888,216374
80888,132596
126458,13808
126458,22240
384946,3369
106748,16016
106748,24215
93488,2517
93488,40973
93488,93480
93488,93481
93488,182497
93488,189779
93488,67504
71909,43055
71909,43056
88491,3369
208641,14570
342910,208328
65159,39124
65159,64911
65159,116323
209611,10053
385820,3369
199226,200645
143528,3604
353830,3369
355203,3369
199695,93252
199695,6645
199695,6658
199695,3066
199695,93269
199695,93274
199695,6669
199695,130622
199695,6672
199695,6677
199695,6692
199695,39089
199695,6701
386972,3369
98311,35184
329378,71485
214042,3369
354323,78347
354323,28254
134554,5393
134554,531
134554,33946
70301,11256
70301,5393
70301,66383
70301,40973
70301,185735
70301,186184
70301,122529
70301,120250
70301,207711
291044,3369
387719,3369
387811,3369
369148,59343
387837,3369
387837,16649
244191,3369
77864,4
77864,5087
77864,4665
77864,439
77864,26398
77864,13123
77864,6053
77864,27676
77864,22240
14333,531
388222,388223
388352,3369
388352,16649
152912,305865
223917,5192
223917,3369
179322,87770
179322,3369
337963,182906
388770,3369
93321,93252
93321,6645
93321,6658
93321,93269
93321,73367
93321,6672
93321,6677
93321,93279
93321,93293
93321,39089
93321,93308
93321,6701
208716,8755
62576,8755
234621,116633
234621,63279
61740,8755
61740,20358
61740,1805
61740,59356
61740,61732
238481,3369
238481,182979
125427,125419
389738,4
334723,12891
334723,3369
334723,16649
202482,202476
202482,202480
179622,24658
179622,2517
179622,4412
179622,3369
179622,26629
179622,16649
179622,96291
179622,42909
179622,93171
130712,27381
390202,3369
390238,3369
101906,4
76471,531
24299,6078
122756,2733
133067,4
133067,40581
213897,310040
213897,67062
175283,59343
200371,3369
64729,8702
64729,56426
64729,14570
64729,64987
64729,39124
64729,13808
64729,148237
258751,212781
392032,3369
379012,3369
120327,28866
120327,54873
120327,10273
120327,75467
120327,75470
256774,159983
80281,142826
80281,53800
80281,53819
264232,3369
264232,16649
53800,142826
53800,142862
53800,143211
53800,53787
53800,80281
53800,131640
53800,53859
393040,3369
61742,8755
27676,6053
103447,53575
103447,28951
103447,16801
103447,92274
103447,11876
103447,3604
103447,219490
103447,121586
103447,39885
103447,89807
103447,12751
103447,13808
103447,88838
103447,8966
103447,67371
103447,39889
103447,92688
103447,64911
103447,27676
103447,315402
103447,100127
103447,84647
103447,67382
103447,206362
93601,66279
93601,98639
317866,38517
102406,14570
393710,3369
393956,52361
277321,3369
277321,16649
394139,3369
394139,16649
196162,190847
151979,30539
151979,13013
394570,3369
134352,18906
360557,12751
95697,29021
95697,115818
143654,510
395194,3369
209474,4
355693,16649
175065,26092
175065,92688
175065,106209
175065,106217
395390,6053
40581,25661
40581,160633
40581,126714
40581,16091
40581,133067
40581,15885
40581,179254
173412,3369
395476,3369
186184,118365
186184,9951
186184,66383
186184,40973
186184,70301
306171,3369
395980,3369
395786,3369
108133,93106
108133,9951
108133,51319
108133,59000
108133,40973
108133,132827
108133,124378
108133,60845
108133,143546
108133,93171
108133,143554
396290,3369
396290,50434
396362,3369
62353,37308
62353,46733
62353,38602
62353,22814
181800,531
396654,3369
396654,16649
396685,3369
239203,531
109246,4665
109246,5114
109246,25907
109246,3604
109246,12751
109246,13808
109246,26092
109246,106209
109246,75470
109246,93171
397066,3369
10241,14825
10241,12879
10241,28962
10241,12891
10241,10179
10241,10273
10241,67517
67504,6338
67504,29648
67504,4412
67504,12891
67504,11876
67504,3604
67504,531
67504,213163
67504,13123
67504,65919
67504,12751
67504,29012
67504,88838
67504,18895
67504,64965
67504,58294
67504,10168
67504,10179
67504,23976
67504,93488
67504,67503
67504,10273
67504,67517
217948,3369
115966,37983
191445,3369
149467,12751
149467,39889
99393,4
99393,439
137652,3604
137652,2173
397380,3369
397380,16649
379840,3369
105544,12751
105544,105545
397486,3369
337624,3369
337624,16649
397799,531
398071,208641
398291,3369
398361,3369
398391,3369
398652,3369
31850,8755
31850,56426
31850,86903
31850,39124
31850,64729
43712,134290
43712,398971
166945,28383
166945,510
33142,531
33142,11516
53967,3604
53967,26398
53967,13808
53967,67382
29559,4
29559,36950
29559,2325
29559,208997
26251,26238
30096,6078
30096,27252
30096,48226
30096,16091
140089,22502
140089,13013
399551,3369
399551,16649
207121,11876
208472,50434
110463,56426
110463,16528
110463,39124
400242,3369
171763,16016
171763,236064
400258,4
400258,3369
342980,3369
400283,3369
112018,31850
86271,344380
142623,30539
132125,56426
132125,24821
132125,64987
132125,39124
132125,148237
298696,393373
65253,116633
73813,64987
73813,65474
73813,256016
73813,61732
134333,3604
76940,4665
76940,27484
76940,10179
45463,58939
45463,184039
173138,224480
173138,378555
176859,49217
176859,129505
176859,166454
176859,58294
279983,213519
151054,531
220954,26072
220954,3604
312363,4
221069,48768
95037,57977
168283,531
6704,154573
6704,6645
6704,6658
6704,93269
6704,198128
6704,73365
6704,9208
6704,93274
6704,6669
6704,73367
6704,130622
6704,6672
6704,271995
6704,6677
6704,93293
6704,254611
6704,6692
6704,39089
6704,93314
6704,6701
6704,93317
6704,109391
6704,93336
6704,93337
6704,6708
6704,154584
401841,3369
401841,16649
109648,3604
109648,73034
109648,64911
109648,87449
122529,11256
122529,6338
122529,5393
122529,59000
122529,40973
122529,147993
122529,42831
122529,96291
122529,70301
53810,119769
53810,53859
53810,228557
243643,3369
243643,92037
71430,9208
71430,12751
71430,106209
71430,143977
402673,3369
145918,16016
145918,171763
145918,4394
57648,439
57648,16578
57648,50910
57648,13123
57648,18506
57648,130757
402999,3604
402196,3369
20327,43597
20327,77138
126571,10053
126571,182043
403358,510
320256,195517
320256,195518
320256,195520
94880,3369
94880,22313
403726,3369
35839,11256
35839,2517
35839,28962
35839,4412
35839,3369
35839,13790
35839,9951
35839,51319
35839,59000
35839,40973
35839,132827
35839,139726
35839,132829
35839,82741
35839,124378
35839,129505
35839,96291
35839,64965
35839,23976
35839,42909
35839,93171
35839,123165
35839,81674
403936,3369
213592,76165
403954,3604
403954,23214
403954,67382
403954,124398
36914,19860
404017,3369
110577,6338
110577,66383
240547,3369
95848,6645
95848,6658
95848,73365
95848,93274
95848,6669
95848,73367
95848,6677
95848,93279
95848,93293
95848,6692
95848,39089
95848,93308
95848,93314
95848,6701
95848,93337
95848,6708
141756,3369
404613,404614
132847,3369
132847,16649
158955,192086
158955,404928
180597,6658
180597,47499
180597,73365
180597,47517
180597,6701
405018,3369
214046,4475
344524,319542
344524,253094
240922,48768
107442,61293
107442,83970
274266,108920
42850,5087
42850,4665
42850,439
42850,5123
42850,3604
42850,26398
42850,12751
42850,13808
42850,26092
42850,53967
130733,6338
126814,6982
126814,439
126814,13123
126814,13808
126814,46056
396668,396669
396669,396668
42909,2517
42909,4412
42909,131388
42909,77700
42909,51319
42909,59000
42909,40973
42909,132829
42909,82741
42909,124378
42909,96291
42909,64965
42909,179622
42909,35839
405749,3369
405808,67062
383308,3369
383308,16649
406033,3369
252733,510
97227,64729
406349,3369
406373,3369
406373,16649
107585,30539
107585,108383
51177,439
51177,5123
51177,11876
51177,13790
51177,13123
51177,13808
51177,100127
406739,3369
406739,22313
406739,94880
145888,7801
145888,43515
145888,135555
164139,3369
42179,12751
42179,64911
42179,42180
42179,84647
248899,3369
318634,3369
80101,118365
80101,4665
80101,439
80101,5123
80101,92274
80101,28390
80101,11876
80101,3604
80101,26398
80101,2173
80101,12751
80101,13808
80101,124378
80101,167769
80101,103447
80101,207711
80101,67382
146642,33728
146642,152407
165978,6645
165978,6658
165978,160038
165978,6708
37001,26072
37001,18506
37001,23976
52936,44933
52936,13808
52936,42179
52936,42180
15885,151159
10273,122087
10273,5192
10273,12891
10273,10168
10273,120327
10273,10241
10273,67504
10273,44308
10273,67517
408157,531
408212,3369
408238,3369
179254,164151
179254,228656
53819,119769
53819,162721
53819,80281
53819,53859
272349,3369
272349,272348
408440,3369
405864,408507
408509,94880
81241,269512
357511,3369
357511,35839
400736,3369
118814,531
343984,116686
109527,16801
109527,28390
109527,3604
109527,12751
109527,13808
109527,26092
109527,67382
113400,8702
113400,113395
376345,376344
198347,80818
44308,29648
44308,28962
44308,26629
44308,65774
44308,10179
44308,10273
44308,67517
122106,122087
23979,6982
23979,139112
23979,107743
23979,16578
23979,48226
23979,38517
23979,18506
23979,16091
23979,35184
23979,23976
23979,37001
23979,10335
102461,95235
410700,3369
410700,16649
388223,388222
410877,3369
410877,16649
193679,3369
390215,3369
95728,1805
95728,95660
404614,404613
411422,3369
411443,3369
131640,142835
131640,53718
131640,119769
131640,162721
131640,53787
131640,53800
131640,53859
411554,3369
191607,38602
191607,87330
191607,166174
277858,16649
168935,2517
168935,6078
168935,93106
168935,9951
168935,59000
168935,40973
168935,132827
168935,147993
168935,96291
184805,4
184805,4665
184805,27484
184805,3604
184805,12751
184805,13808
412042,3369
194069,124379
244043,36810
46996,38819
38819,33833
38819,50218
38819,50231
38819,46996
30097,12751
398971,43712
36810,18665
36810,138173
36810,38327
36810,93171
367713,3369
408507,405864
10284,3369
10284,5021
10284,32641
10284,541
10284,77700
10284,33946
10284,216374
10284,80888
10284,120250
10284,25018
413505,3369
365518,3369
365518,365519
141253,17244
413922,50434
64375,13808
414073,3369
341261,14570
95235,60049
67515,28962
67515,10168
67515,67517
414756,3369
298623,3369
160055,20358
160055,154584
160055,11962
415002,67062
415261,3369
415261,16649
67868,75467
75467,120327
75467,67868
138663,5021
138663,78328
138663,112862
138663,11516
138663,15885
138663,138666
135265,120250
173415,3369
23214,39889
105545,13790
105545,105544
116686,14570
116686,343984
81933,76920
81933,110093
296120,296119
416098,3604
195096,3919
416416,3369
416515,53967
416526,3369
416526,16649
258317,242386
258317,258313
416761,3369
416773,3369
193112,35184
193112,10335
193112,10343
410627,16649
195520,174678
195520,320256
417244,417245
17283,147228
162386,126500
417826,3369
417826,16649
417843,3369
177265,27381
177265,99707
177265,205159
410906,3369
410906,16649
120250,5087
120250,170702
120250,40973
120250,10053
120250,34790
120250,70301
120250,10284
120250,135265
418178,3369
418178,16649
166174,219490
166174,39885
418633,3369
401410,3369
401410,16649
419014,3369
93336,154573
93336,6645
93336,160038
93336,254611
93336,6704
93336,224480
419047,4412
419047,3369
313283,510
57367,28962
57367,12891
57367,29012
57367,10179
419191,3369
419211,3369
116284,56426
292721,260323
102477,16528
102477,39124
63839,172389
63839,75689
106217,5087
106217,175065
151159,15885
337558,531
132478,4
93337,6645
93337,6658
93337,93269
93337,93274
93337,73367
93337,6672
93337,93279
93337,6692
93337,39089
93337,93308
93337,93314
93337,6701
93337,93321
93337,6708
93337,224480
75470,4665
75470,5123
75470,29648
75470,11876
75470,73710
75470,26092
75470,106209
75470,10168
75470,109246
75470,15885
295959,295958
42180,12751
42180,64911
42180,42179
42180,52936
42180,84647
126099,16431
126099,531
6708,165791
6708,6645
6708,93274
6708,73367
6708,6672
6708,160038
6708,6692
6708,39089
6708,93308
6708,6704
6708,95848
6708,165978
6708,93337
397128,3369
397128,216365
22240,439
22240,50114
22240,115038
22240,104567
22240,187918
22240,13123
22240,13808
22240,104571
22240,126458
126479,97560
420683,3369
4394,26417
4394,16970
4394,158097
81666,32641
420960,3369
315402,39889
159116,95235
159116,82679
279049,8755
185993,3369
185993,16649
421370,3369
74376,25907
74376,46733
74376,26092
260323,292721
307383,783
67517,28962
67517,12891
67517,73710
67517,13123
67517,65919
67517,2173
67517,10168
67517,29021
67517,67503
67517,10241
67517,67504
67517,10273
67517,44308
67517,67515
67517,108920
67517,25284
67517,182254
221430,4
143912,6669
143912,6677
143912,93317
143912,16022
421605,3369
421605,16649
421605,385188
421819,3369
313724,3369
313724,16649
422010,531
60845,4
60845,2517
60845,64965
60845,123165
200711,3369
200711,273816
305865,152912
350621,3369
422355,3369
422355,16649
422561,3369
125393,3369
125393,343164
422689,43515
378115,137174
284882,8497
33360,8702
393373,14570
393373,298696
31436,4519
84112,4412
154584,93252
154584,154573
154584,47499
154584,73365
154584,93314
154584,6701
154584,6704
154584,160055
115818,43515
216483,44726
365162,3369
365162,250519
423818,3369
423981,3369
423981,531
424033,3369
208328,39124
208328,182906
208328,342910
208328,404617
54312,1912
175804,15885
175804,135555
424443,3369
424465,3369
125436,47517
125436,117033
164503,113232
164503,137490
424861,3369
424861,16649
285913,285914
